sampleID,pit,depth,wet_soil_g,wet_dry,dry_soil_g,vol_cm3,BD_g_cm3,AP,BG,NAG,Tot_C_g,gC_cm3soil,Tot_N_g,gN_cm3soil,soil_CN,Nit_ug_gsoil_day,Min_ug_gsoil_day,froot_g_cm3soil,root_CN,Tot_LF_g,Tot_POM_g,Tot_MAOM_g,LF_C_g,POM_C_g,MAOM_C_g,LHPOM_C_g,MAOC_POC,Frac_C_g,gPOC_cm3soil,gMAOC_cm3soil,R_mmol_nosub,R_mmol_sub,MAOM_13C_mmol,MAOM_13Cprop,MAOC_change_mmol
1,1,0 to 15,37962.2822,0.711198428,26998.71543,45000,0.599971454,0.116493891,0.185457622,0.018333363,1013.26179,0.022516929,91.97562392,0.002043903,11.01663405,0.941174357,0.79451005,0.001771111,95.02816901,542.2984449,3892.928122,22563.48887,156.1277223,100.0393131,734.8928324,256.1670354,2.868803284,991.0598678,0.005692601,0.016330952,0.010743796,0.004929329,0.140044503,0.004364765,-10.7934303
2,2,0 to 15,57935.098,0.857429719,49675.27479,45000,1.103894995,0.217375265,0.206780082,0.011519026,1930.744973,0.042905444,166.7832532,0.003706295,11.57637194,0.659634106,0.575137292,0.002478,84.25454545,1162.048241,4867.79263,43645.43392,337.3426043,360.5830776,1353.008452,697.9256819,1.938613934,2050.934133,0.01550946,0.030066854,0.006071889,0.002191263,0.201208989,0.004621279,-7.38543904
3,3,0 to 15,56473.864,0.867588933,48996.0994,45000,1.088802209,0.087546598,0.197395669,0.016010404,1657.211414,0.03682692,140.7133619,0.003126964,11.77721427,0.410217969,0.140137068,0.002457333,80.36309524,691.258924,4588.959845,43715.88063,203.5066272,153.0983225,1162.842425,356.6049498,3.260870118,1519.447375,0.007924554,0.025840943,0.005329663,0.002840925,0.21293325,0.005120243,-3.19410303
4,4,0 to 15,50287.138,0.4,20114.8552,45000,0.446996782,0.631448495,0.560811333,0.027326061,1032.579111,0.022946202,77.51615419,0.001722581,13.32082483,0.801526718,0.639994547,0.002618222,84.42592593,235.4581712,1864.978213,18014.41882,68.00031985,138.3385158,634.6479749,206.3388356,3.075756306,840.9868105,0.004585307,0.014103288,0.021082441,0.006183545,0.101361692,0.004077158,-0.704953277
5,5,0 to 15,57763.2848,0.846153846,48876.6256,45000,1.086147236,0.397006418,0.350349254,0.017965441,1584.822978,0.035218288,129.4827498,0.002877394,12.23964568,0.918938309,1.369948139,0.003408667,94.41496599,1473.833535,3518.984564,43883.8075,321.885244,10.63863024,343.1713747,332.5238743,1.032020258,675.6952489,0.007389419,0.007626031,0.012303521,0.002483721,0.025087959,0.003794513,-6.069458545
6,1,15 to 30,48657.2018,0.658153242,32023.89509,45000,0.711642113,0.063482298,0.072499935,0.004993095,883.9662509,0.019643694,76.53710928,0.001700825,11.54951185,0.178286396,0.281048843,0.000366444,94.375,222.229877,4849.16988,26952.49534,69.58017449,27.45092974,709.6592022,97.03110422,7.313729014,806.6903065,0.002156247,0.015770204,0.004331433,0.003762924,0.12519334,0.004612934,-5.328038447
7,2,15 to 30,72903.2004,0.881422925,64258.55213,45000,1.427967825,0.157807378,0.15220334,0.009505151,1797.967037,0.039954823,144.7116192,0.003215814,12.42448289,0.254491474,0.349624171,0.000578222,103.2444444,413.0169392,5334.802132,58510.73306,84.79237763,35.11268182,1604.949408,119.9050594,13.38516836,1724.854467,0.002664557,0.035665542,0.0026362,0.001326171,0.217963205,0.005042545,-4.560621512
8,3,15 to 30,71845.07,0.858846918,61703.91698,45000,1.371198155,0.233480206,0.177265192,0.021137786,1527.953529,0.033954523,125.9233711,0.002798297,12.13399479,0.240114034,0.20749501,0.000427333,87.09032258,567.7008086,4242.273315,56893.94285,94.97634528,28.24585693,1311.405383,123.2222022,10.64260628,1434.627585,0.002738271,0.029142342,0.002351684,0.000881129,0.196311361,0.006062663,-8.510954869
9,4,15 to 30,68460.3836,0.482421875,33026.78662,45000,0.733928592,0.288482591,0.413952298,0.024473696,1100.183335,0.024448519,84.74091358,0.001883131,12.98290623,0.529265911,0.387544158,0.000954444,93.25333333,477.8396411,2513.312398,30035.63458,45.27052759,52.66392037,782.7286372,97.93444796,7.992372995,880.6630851,0.002176321,0.01739397,0.00851862,0.003110663,0.071585826,0.005233044,-9.373210375
10,5,15 to 30,70644.6232,0.847222222,59851.69466,45000,1.330037659,0.193736795,0.138760628,0.007004482,1554.590083,0.034546446,119.8140997,0.002662536,12.97501786,0.022364653,-0.202125574,0.000921778,107.808,426.4699788,5723.676031,53701.54865,115.0616003,37.50665727,1400.536389,152.5682575,9.179736409,1553.104646,0.003390406,0.031123031,0.005105022,0.0018038,0.222106569,0.00589079,-0.171489519
11,1,30 to 50,61861.968,0.647294589,40042.91716,60000,0.667381953,0.090417522,0.08567673,0.002285517,552.1918277,0.009203197,48.45192977,0.000807532,11.39669421,-0.023667223,0.09269676,0.000126167,105.1374046,174.7683186,5194.114429,34674.03441,50.45561359,11.64450354,486.1299625,62.10011712,7.828164986,548.2300796,0.001035002,0.008102166,0.003800869,0.002519772,0.178186897,0.011016147,-1.344750689
12,2,30 to 50,68574.018,0.858546169,58873.96044,60000,0.981232674,0.149646857,0.153195181,0.013894297,1272.623863,0.021210398,103.7377068,0.001728962,12.26770769,0.146104928,0.236385604,0.000107,92.97278912,204.7227761,5225.818231,53443.41944,0,17.73655292,1045.887718,17.73655292,58.96792477,1063.624271,0.000295609,0.017431462,0.00289765,0.001221896,0.213270268,0.006706028,-0.685669988
13,3,30 to 50,79158.1584,0.852882704,67512.62416,60000,1.125210403,0.150193225,0.125082901,0.01835867,1225.393763,0.020423229,104.2253029,0.001737088,11.75716192,0.150978199,0.157320447,0.000196667,92.45205479,488.2489543,3552.011143,63472.36407,103.5087783,16.69304161,989.5341558,120.2018199,8.232272659,1109.735976,0.002003364,0.016492236,0.002272534,0.000640604,0.176106844,0.007315925,-2.485402166
14,4,30 to 50,93955.362,0.494117647,46425.0024,60000,0.77375004,0.25322613,0.221329898,0.025771096,921.7414022,0.015362357,76.42149987,0.001273692,12.06128385,0.167006996,-0.040623939,0.000370333,100.323741,1234.597832,5927.272403,39263.13217,46.79125783,23.11636237,773.4837037,69.9076202,11.06436897,843.3913239,0.001165127,0.012891395,0.007125968,0.002470626,0.13959206,0.008458534,-0.593642855
15,5,30 to 50,104220.81,0.84939759,88524.90488,60000,1.475415081,0.053911522,0.12772498,0.003882919,1410.113601,0.023501893,109.4121832,0.001823536,12.88808576,-0.066170609,-0.246468599,0.0004215,103.443609,3680.702178,16290.48354,68553.71916,870.117995,32.58096708,1350.508267,902.6989621,1.496078232,2253.20723,0.015044983,0.022508471,0.003782013,0.001158299,0.165937864,0.008964728,-7.001517773
